fund,stock,first_seen,months_held,initial_qty,latest_qty,qty_change_since_entry_pct,still_held,added_in,trimmed_in,qty_change_pct
Abakkus Small Cap,Divi's Laboratories Limited,2026-03,4,8500.0,0,,False,2026-05 +107%; 2026-06 +82%; 2026-07 +15%,-,
Abakkus Small Cap,Dr. Lal Path Labs Limited,2026-03,5,45000.0,242803,,True,2026-05 +167%; 2026-06 +33%; 2026-07 +25%; 2026-08 +21%,-,439.6
Abakkus Small Cap,Neuland Laboratories Limited,2026-03,5,4640.0,17000,,True,2026-05 +148%; 2026-06 +13%; 2026-07 +31%,-,266.4
Abakkus Small Cap,Sanofi Consumer Healthcare India Limited,2026-03,5,475.0,71593,,True,2026-05 +5527%; 2026-06 +67%; 2026-07 +44%; 2026-08 +12%,-,14972.2
Abakkus Small Cap,Jubilant Pharmova Limited,2026-05,4,155000.0,448934,,True,2026-06 +39%; 2026-07 +53%; 2026-08 +36%,-,189.6
Abakkus Small Cap,Q-Line Biotech Ltd,2026-05,4,394000.0,493200,,True,2026-07 +23%,-,25.2
Abakkus Small Cap,Rainbow Childrens Medicare Limited,2026-05,4,130000.0,285594,,True,2026-06 +35%; 2026-07 +24%; 2026-08 +32%,-,119.7
Abakkus Small Cap,Sanofi India Limited,2026-05,4,38944.0,94349,,True,2026-06 +39%; 2026-07 +64%; 2026-08 +6%,-,142.3
TRUSTMF Small Cap,Ami Organics Limited,2024-11,5,,0,,False,2025-01 +26%; 2025-02 +24%; 2025-03 +20%,-,
TRUSTMF Small Cap,Artemis Medicare Services Limited,2024-11,4,,0,,False,2025-01 +23%,-,
TRUSTMF Small Cap,Aster DM Quality Care Limited,2024-11,21,,549972,,True,2025-01 +36%; 2025-02 +105%; 2025-07 +48%; 2026-02 +15%,2024-12 -31%; 2025-03 -21%; 2025-05 -25%,142.1
TRUSTMF Small Cap,Cohance Lifesciences Limited,2024-11,7,,0,,False,2024-12 +26%; 2025-01 +35%; 2025-02 +113%,2025-03 -15%,
TRUSTMF Small Cap,Marksans Pharma Limited,2024-11,5,,0,,False,2024-12 +40%; 2025-02 +69%; 2025-03 +19%,2025-01 -23%,
TRUSTMF Small Cap,Piramal Pharma Limited,2024-11,3,,0,,False,2025-01 +95%,2024-12 -14%,
TRUSTMF Small Cap,Poly Medicure Limited,2024-11,1,,0,,False,-,-,
TRUSTMF Small Cap,Rainbow Childrens Medicare Limited,2024-11,4,,0,,False,2025-01 +15%,-,
TRUSTMF Small Cap,Strides Pharma Science Limited,2024-11,2,,0,,False,-,-,
TRUSTMF Small Cap,Vijaya Diagnostic Centre Limited,2024-11,6,,0,,False,2025-02 +48%,2025-03 -17%; 2025-04 -15%,
TRUSTMF Small Cap,Wockhardt Limited,2024-11,6,,0,,False,-,2025-09 -50%,
TRUSTMF Small Cap,Krishna Institute Of Medical Sciences ,2024-12,19,,304968,,True,2025-01 +154%; 2025-02 +93%; 2025-06 +16%; 2025-07 +91%,2025-03 -46%; 2025-05 -24%; 2025-11 -31%,359.5
TRUSTMF Small Cap,Onesource Specialty Pharma Limited,2024-12,10,,0,,False,2025-01 +32%; 2025-08 +32%; 2026-05 +147%,2025-09 -14%,
TRUSTMF Small Cap,Yatharth Hospital & Trauma Care Servic,2024-12,1,,0,,False,-,-,
TRUSTMF Small Cap,Innova Captab Limited,2025-01,2,,0,,False,-,-,
TRUSTMF Small Cap,Laxmi Dental Limited,2025-01,8,,0,,False,2025-02 +22%; 2025-03 +64%; 2025-07 +30%,2025-08 -24%,
TRUSTMF Small Cap,Blue Jet Healthcare Limited,2025-02,6,,0,,False,-,2025-07 -56%,
TRUSTMF Small Cap,Acutaas Chemicals Limited,2025-04,16,,85755,,True,2025-07 +20%; 2026-01 +33%,2025-12 -10%; 2026-03 -19%; 2026-04 -18%,-31.7
TRUSTMF Small Cap,Eris Lifesciences Limited,2025-05,10,,0,,False,2025-06 +55%,2025-08 -13%; 2026-01 -10%; 2026-02 -44%,
TRUSTMF Small Cap,Laurus Labs Limited,2025-06,14,,427970,,True,2025-07 +31%; 2025-11 +50%; 2025-12 +13%; 2026-02 +25%,2025-09 -16%; 2026-01 -28%,145.7
TRUSTMF Small Cap,Glenmark Pharmaceuticals Limited,2025-07,4,,0,,False,-,2025-09 -12%,
TRUSTMF Small Cap,Sai Life Sciences Limited,2025-08,12,,347720,,True,2025-12 +104%; 2026-02 +50%; 2026-03 +32%; 2026-05 +25%,2025-09 -38%,202.9
TRUSTMF Small Cap,Healthcare Global Enterprises Limited,2025-09,9,,0,,False,2025-10 +84%; 2026-01 +42%; 2026-03 +21%,-,
TRUSTMF Small Cap,Neuland Laboratories Limited,2025-09,11,,17094,,True,2025-10 +16%; 2025-11 +25%; 2026-05 +76%,2026-01 -16%,114.2
TRUSTMF Small Cap,Narayana Hrudayalaya Limited,2025-12,5,,0,,False,2026-02 +23%,-,
TRUSTMF Small Cap,Ajanta Pharma Limited,2026-03,1,,0,,False,-,-,
TRUSTMF Small Cap,JB Chemicals & Pharmaceuticals Limited,2026-03,3,,0,,False,2026-05 +20%,2026-04 -22%,
TRUSTMF Small Cap,Rubicon Research Limited,2026-04,4,,207308,,True,2026-05 +36%; 2026-06 +19%,2026-07 -18%,32.4
TRUSTMF Small Cap,Senores Pharmaceuticals Limited,2026-05,3,,303352,,True,2026-06 +72%,-,71.6
TRUSTMF Small Cap,Granules India Limited,2026-06,2,,461572,,True,2026-07 +44%,-,43.8
